DATE,AUS,AUT,BEL,CAN,CHE,DEU,DNK,ESP,FIN,FRA,GBR,GRC,HKG,IRL,ISR,ITA,JPN,NLD,NOR,NZL,PRT,SGP,SWE,USA
34789.00,0.02,0.03,0.03,0.00,0.03,0.03,0.03,0.02,0.04,0.02,0.01,0.04,-0.01,0.02,0.01,0.00,0.03,0.02,0.01,0.01,0.02,0.01,0.00,0.00
34792.00,0.00,0.00,0.00,-0.01,0.00,0.00,0.00,0.00,0.01,0.00,-0.01,0.00,-0.01,-0.01,-0.04,-0.03,-0.04,-0.01,0.00,0.01,0.00,-0.01,0.00,0.00
34793.00,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.03,0.00,0.00,-0.02,0.01,0.00,0.00,0.01,0.01,0.00,0.01,0.01,0.00,-0.01,0.02,0.00
34794.00,0.03,0.00,0.00,0.01,0.00,0.00,0.01,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.01,0.00,0.00
34795.00,0.00,0.01,0.01,0.00,0.01,0.01,0.00,0.00,0.01,0.01,0.01,0.00,-0.01,0.00,0.00,0.00,0.02,0.01,0.01,0.01,0.01,0.00,0.01,0.00
34796.00,0.00,0.00,0.00,-0.01,-0.01,0.00,-0.01,0.02,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.01,0.01,0.00,-0.01,0.01,0.00,-0.01,0.01,0.00
34799.00,0.00,-0.01,-0.01,0.00,-0.02,-0.02,-0.02,-0.01,-0.02,-0.02,-0.01,-0.01,0.00,-0.01,0.00,-0.01,0.03,-0.01,-0.01,0.00,-0.01,0.00,0.00,0.00
34800.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.00,0.00,0.00,-0.01,-0.01,-0.01,0.00,0.00
34801.00,0.01,-0.01,0.00,0.01,0.00,0.00,0.00,0.00,-0.01,0.00,0.00,-0.01,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
34802.00,0.00,0.01,0.01,0.00,0.01,0.01,0.00,0.00,0.00,0.01,0.01,0.00,0.01,0.03,0.00,0.03,0.01,0.01,0.00,0.03,0.01,0.00,0.01,0.00
34803.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,-0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00
34806.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.03,0.00,0.00,0.00,0.01,0.00,0.00,0.02,0.00,0.02,0.00,0.00,0.00,0.00,-0.01,0.00,0.00
34807.00,0.01,0.01,0.01,0.00,0.01,0.01,0.03,-0.01,0.03,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.01,0.00,0.00,0.00
34808.00,0.00,0.01,0.01,0.00,0.00,0.00,0.01,-0.01,0.01,0.01,0.00,0.02,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.00,0.01,0.00,0.00,0.00
34809.00,-0.01,-0.01,0.00,-0.01,0.00,-0.01,-0.01,-0.01,-0.02,-0.01,0.00,0.00,0.00,-0.01,0.00,0.00,-0.01,-0.01,0.00,0.00,-0.02,0.01,-0.01,0.00
34810.00,-0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01,0.00,0.01,0.01,0.00,0.00
34813.00,0.00,0.00,0.01,0.01,0.00,0.00,0.00,0.01,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.01,0.01,0.01,0.00,0.00,0.00,0.00,0.01
34814.00,0.00,0.01,0.01,0.00,0.01,0.01,0.01,0.01,0.02,0.02,0.01,0.03,-0.01,0.01,0.01,0.00,0.03,0.00,0.01,0.00,0.00,0.00,0.02,0.00
