DATE,AUS,AUT,BEL,CAN,CHE,DEU,DNK,ESP,FIN,FRA,GBR,GRC,HKG,IRL,ISR,ITA,JPN,NLD,NOR,NZL,PRT,SGP,SWE,USA
35319.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01,0.00,-0.01,0.01,-0.01,0.01,0.00,0.00,0.00,0.00,0.02,0.01,0.01,0.00
35320.00,0.00,0.02,0.00,-0.01,0.00,0.00,0.00,0.00,0.00,-0.01,0.00,0.00,0.00,0.00,-0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
35321.00,0.00,0.01,0.00,-0.01,0.00,-0.01,0.00,-0.01,0.00,0.00,0.00,-0.01,0.00,-0.02,0.00,0.00,0.00,0.00,0.01,-0.01,0.01,-0.01,0.00,-0.01
35324.00,0.00,-0.01,0.00,0.00,0.00,-0.01,0.00,0.00,-0.01,0.00,0.00,0.00,-0.01,-0.01,-0.02,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00
35325.00,0.01,0.00,0.00,0.00,0.00,0.01,-0.01,0.00,-0.01,0.00,0.00,0.00,-0.01,-0.01,-0.02,-0.01,0.00,0.00,0.01,-0.02,0.00,0.00,0.01,0.00
35326.00,0.00,0.01,-0.01,0.00,0.00,-0.01,0.00,0.00,0.01,0.00,0.00,-0.04,-0.01,-0.01,-0.02,0.01,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00
35327.00,-0.01,0.00,0.00,0.00,0.00,0.00,0.00,-0.01,0.00,-0.01,0.00,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.00,-0.01,0.01,0.00,0.00,0.00
35328.00,0.00,0.00,-0.01,0.00,0.00,-0.01,0.00,0.00,-0.01,-0.01,0.00,0.02,0.00,0.00,0.00,-0.01,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.00
35331.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,-0.03,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
35332.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,-0.01,0.00,-0.01,0.00,0.03,0.00,0.00,-0.04,0.01,0.00,0.00,-0.01,-0.01,-0.01,0.01,0.00,0.00
35333.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.01,0.00,-0.02,0.00,0.00,-0.02,-0.01,-0.01,0.00,0.00,-0.01,0.00,0.01,0.00,0.00
35334.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,-0.01,0.00,0.00,0.00,0.01,0.00,-0.01,0.01,-0.01,0.00,0.01,-0.01,0.00,0.00,0.00,-0.01,0.00
35335.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,-0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
35338.00,0.00,0.00,0.00,0.00,-0.01,0.00,0.00,0.00,0.00,-0.01,0.00,0.00,-0.01,0.00,-0.03,0.00,0.00,0.00,0.00,0.02,0.00,0.00,0.01,0.00
35339.00,-0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.01,0.00,0.00,0.00,0.00,-0.01,-0.01,0.01,0.00,0.00,0.00,-0.01,0.00,0.01,-0.01,-0.01
35340.00,-0.01,-0.01,0.00,0.00,0.00,0.00,0.00,-0.01,0.00,0.00,0.00,-0.01,0.01,0.00,0.01,0.00,0.00,0.01,0.00,0.00,0.01,0.00,0.00,0.00
35341.00,0.00,0.00,-0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.01,-0.01,0.02,-0.01,0.00,0.01,0.01,0.00,0.00,0.00,0.00,0.00
35342.00,0.01,0.00,0.01,0.00,0.00,0.00,0.00,0.00,-0.01,-0.01,0.00,-0.02,0.01,0.00,0.00,0.01,0.00,0.00,-0.01,-0.01,0.00,-0.01,0.00,-0.01
35345.00,0.00,0.01,0.01,0.00,-0.01,-0.01,0.00,0.00,0.01,0.00,0.00,-0.02,0.00,0.00,0.00,0.00,0.00,0.00,-0.01,-0.01,0.00,0.01,0.00,0.00
35346.00,0.00,0.00,-0.01,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,-0.01,0.00,0.00,0.01,0.01,0.00,0.00,-0.01,0.01,0.00,0.00,0.00,0.00
35347.00,0.00,-0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.02,-0.01,0.01,-0.01,0.00,0.00,0.01,0.01,0.01,0.01,0.00,0.01,0.00
35348.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.00,0.00,0.00
35349.00,0.00,0.00,0.00,0.00,0.00,-0.01,0.00,0.00,-0.01,0.00,0.00,-0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.01,0.00,0.00,0.00
35352.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.01,0.01,0.00,0.00,0.01,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,-0.01,0.00
35353.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.01,-0.01,0.00,0.00,0.01,-0.01,0.00,0.01,0.00,-0.01,0.00,-0.01,0.00,0.01,0.00,0.00,0.00
